aluno_id,curso,semestre,situacao,cr,renda_familiar,modalidade
419,Pedagogia,2024.1,Evadido,4.35,1-3 SM,Presencial
420,TI,2023.2,Ativo,9.97,3-5 SM,Presencial
421,Direito,2023.1,Ativo,4.35,1-3 SM,Presencial
422,TI,2024.1,Evadido,8.17,Até 1 SM,Presencial
423,Direito,2024.1,Evadido,9.9,Até 1 SM,Presencial
424,Direito,2024.1,Ativo,5.44,1-3 SM,Presencial
425,Medicina,2023.1,Trancado,4.85,Acima 5 SM,Presencial
426,Direito,2023.1,Ativo,4.73,Até 1 SM,EAD
427,Engenharia,2022.2,Ativo,5.82,Até 1 SM,EAD
428,Pedagogia,2023.2,Formado,4.61,Acima 5 SM,EAD
429,Pedagogia,2022.1,Ativo,8.15,Acima 5 SM,Presencial
430,TI,2024.1,Evadido,4.37,3-5 SM,EAD
431,Direito,2022.2,Ativo,7.06,Acima 5 SM,Presencial
432,Engenharia,2022.1,Ativo,9.98,1-3 SM,EAD
433,TI,2022.2,Trancado,8.88,1-3 SM,Presencial
434,Medicina,2023.1,Ativo,7.69,3-5 SM,EAD
435,TI,2024.1,Formado,5.84,Até 1 SM,Presencial
436,TI,2022.1,Ativo,7.74,Até 1 SM,EAD
437,Direito,2022.1,Ativo,7.16,Acima 5 SM,EAD
438,Medicina,2022.1,Ativo,6.56,1-3 SM,Presencial
439,TI,2022.1,Evadido,4.78,Até 1 SM,Presencial
440,Engenharia,2022.1,Ativo,9.32,3-5 SM,EAD
441,Engenharia,2022.2,Formado,6.7,3-5 SM,Presencial
442,Pedagogia,2024.1,Ativo,5.17,1-3 SM,EAD
443,Medicina,2023.1,Trancado,6.21,3-5 SM,Presencial
444,Medicina,2023.1,Ativo,6.48,3-5 SM,Presencial
445,Pedagogia,2023.1,Formado,8.97,1-3 SM,Presencial
446,TI,2023.1,Evadido,8.4,Acima 5 SM,Presencial
447,Medicina,2022.2,Evadido,8.62,Acima 5 SM,EAD
448,Engenharia,2023.2,Formado,4.07,3-5 SM,Presencial
449,Engenharia,2024.1,Evadido,6.5,Acima 5 SM,Presencial
450,Direito,2022.1,Evadido,6.89,Acima 5 SM,Presencial
451,Medicina,2023.2,Ativo,4.12,3-5 SM,Presencial
452,TI,2023.1,Ativo,5.56,Acima 5 SM,EAD
453,Pedagogia,2023.2,Formado,8.56,3-5 SM,EAD
454,Pedagogia,2024.1,Evadido,4.82,Até 1 SM,Presencial
455,TI,2022.1,Evadido,7.21,1-3 SM,EAD
456,Direito,2022.1,Ativo,5.29,1-3 SM,EAD
457,Pedagogia,2024.1,Ativo,4.07,Acima 5 SM,Presencial
458,Medicina,2024.1,Ativo,5.45,Acima 5 SM,EAD
459,Direito,2023.1,Evadido,9.86,Acima 5 SM,Presencial
460,Medicina,2022.1,Ativo,8.81,1-3 SM,Presencial
461,Engenharia,2023.2,Ativo,9.76,Até 1 SM,EAD
462,Direito,2022.2,Ativo,6.93,Até 1 SM,Presencial
463,Pedagogia,2022.2,Ativo,4.66,1-3 SM,EAD
464,Direito,2024.1,Ativo,7.29,Até 1 SM,EAD
465,Direito,2023.1,Ativo,6.73,1-3 SM,Presencial
466,Direito,2022.2,Evadido,9.07,Até 1 SM,EAD
467,Direito,2022.1,Ativo,4.59,3-5 SM,Presencial
468,Medicina,2024.1,Ativo,6.93,3-5 SM,Presencial
469,Engenharia,2023.2,Ativo,4.9,1-3 SM,Presencial
470,TI,2024.1,Ativo,5.95,Até 1 SM,EAD
471,Direito,2023.2,Ativo,8.42,Acima 5 SM,Presencial
472,Pedagogia,2024.1,Ativo,6.86,Até 1 SM,Presencial
473,Direito,2024.1,Evadido,6.26,3-5 SM,Presencial
474,Pedagogia,2024.1,Ativo,6.37,3-5 SM,EAD
475,Medicina,2023.2,Evadido,6.76,Até 1 SM,Presencial
476,Pedagogia,2023.2,Formado,8.71,Até 1 SM,Presencial
477,TI,2024.1,Evadido,9.35,Acima 5 SM,Presencial
478,Engenharia,2022.2,Ativo,9.73,Acima 5 SM,Presencial
479,Pedagogia,2023.1,Ativo,8.72,Até 1 SM,EAD
480,Pedagogia,2023.1,Ativo,5.89,Até 1 SM,Presencial
481,Engenharia,2023.1,Ativo,8.13,Até 1 SM,Presencial
482,TI,2023.2,Trancado,6.63,Até 1 SM,EAD
483,Direito,2023.2,Ativo,5.53,1-3 SM,Presencial
484,Pedagogia,2022.2,Ativo,9.05,Até 1 SM,EAD
485,Engenharia,2023.1,Evadido,4.23,Acima 5 SM,Presencial
486,Medicina,2023.1,Evadido,9.41,3-5 SM,EAD
487,Engenharia,2024.1,Ativo,6.77,1-3 SM,Presencial
488,Medicina,2023.2,Ativo,7.82,Até 1 SM,Presencial
489,TI,2023.1,Ativo,7.96,3-5 SM,EAD
490,Direito,2022.2,Ativo,9.37,1-3 SM,EAD
491,Engenharia,2022.2,Ativo,7.82,3-5 SM,EAD
492,Pedagogia,2023.1,Ativo,7.68,Até 1 SM,Presencial
493,TI,2023.2,Ativo,4.4,Até 1 SM,EAD
494,Engenharia,2022.2,Ativo,7.11,Acima 5 SM,EAD
495,Pedagogia,2024.1,Ativo,4.9,Até 1 SM,Presencial
496,Engenharia,2022.2,Ativo,8.42,Até 1 SM,EAD
497,Medicina,2022.1,Ativo,7.07,1-3 SM,EAD
498,Engenharia,2022.1,Evadido,8.08,Acima 5 SM,Presencial
499,Engenharia,2023.2,Formado,4.25,1-3 SM,Presencial
500,Engenharia,2023.1,Ativo,4.51,3-5 SM,Presencial
